Date,Open,High,Low,Close,Adj Close,Volume
2020-01-02,28.75,29.0,28.25,28.5,28.5,0
2020-01-03,28.75,30.5,28.5,28.5,28.5,0
2020-01-06,28.5,28.5,28.25,28.5,28.5,0
2020-01-07,29.0,29.0,27.0,27.25,27.25,0
2020-01-08,27.5,27.5,27.25,27.25,27.25,0
2020-01-09,27.5,28.5,27.5,27.5,27.5,0
2020-01-10,27.75,28.0,27.5,28.0,28.0,0
2020-01-13,28.25,28.25,28.0,28.0,28.0,0
2020-01-14,28.5,28.5,27.75,27.75,27.75,0
2020-01-15,28.0,28.0,28.0,28.0,28.0,0
2020-01-16,28.0,28.0,27.75,27.75,27.75,0
2020-01-17,28.0,28.0,28.0,28.0,28.0,0
2020-01-20,27.75,28.0,27.75,27.75,27.75,0
2020-01-21,27.75,27.75,27.75,27.75,27.75,0
2020-01-22,27.75,27.75,27.5,27.75,27.75,0
2020-01-23,27.5,27.5,27.5,27.5,27.5,0
2020-01-24,27.5,27.5,27.25,27.25,27.25,0
2020-01-27,27.25,27.25,27.0,27.0,27.0,0
2020-01-28,27.0,27.25,27.0,27.25,27.25,0
2020-01-29,27.0,27.25,26.75,27.0,27.0,0
2020-01-30,27.0,27.0,26.75,26.75,26.75,0
2020-01-31,26.75,26.75,25.5,26.25,26.25,0
2020-02-03,26.25,26.25,26.0,26.0,26.0,0
2020-02-04,25.5,26.0,25.5,26.0,26.0,0
2020-02-05,26.0,26.0,26.0,26.0,26.0,0
2020-02-06,26.0,26.25,26.0,26.25,26.25,0
2020-02-07,26.0,27.0,26.0,27.0,27.0,0
2020-02-11,26.75,26.75,26.5,26.5,26.5,0
2020-02-12,26.25,26.25,26.0,26.25,26.25,0
2020-02-13,26.0,26.25,26.0,26.25,26.25,0
2020-02-14,26.5,27.0,25.75,25.75,25.75,0
2020-02-17,25.75,26.0,25.75,25.75,25.75,0
2020-02-18,26.0,26.25,26.0,26.25,26.25,0
2020-02-19,26.25,26.25,26.0,26.0,26.0,0
2020-02-20,26.0,26.0,25.5,26.0,26.0,0
2020-02-21,26.0,26.25,26.0,26.0,26.0,0
2020-02-24,26.0,26.0,25.0,25.25,25.25,0
2020-02-25,26.0,26.0,25.25,25.25,25.25,0
2020-02-26,25.25,25.25,23.1,23.2,23.2,0
2020-02-27,23.6,23.9,22.1,23.3,23.3,0
2020-02-28,23.2,23.2,23.2,23.2,23.2,0
2020-03-02,23.2,24.0,23.2,24.0,24.0,0
2020-03-03,24.0,24.0,23.8,23.8,23.8,0
2020-03-04,24.3,25.0,24.3,25.0,25.0,0
2020-03-05,25.0,25.0,24.1,24.5,24.5,0
2020-03-09,24.4,24.4,24.0,24.0,24.0,0
2020-03-10,23.6,23.6,22.1,23.0,23.0,0
2020-03-11,23.2,23.4,23.2,23.4,23.4,0
2020-03-12,23.2,23.5,22.9,23.3,23.3,0
2020-03-13,24.0,24.0,21.1,23.6,23.6,0
2020-03-17,21.6,23.4,20.0,23.4,23.4,0
2020-03-18,21.2,22.7,21.2,22.7,22.7,0
2020-03-23,21.3,21.3,20.0,20.3,20.3,0
2020-03-24,20.0,22.5,20.0,22.3,22.3,0
2020-03-25,21.5,22.1,20.0,22.1,22.1,0
2020-03-26,21.8,21.8,20.0,21.0,21.0,0
2020-03-30,21.7,21.7,21.7,21.7,21.7,0
