Date,Open,High,Low,Close,Adj Close,Volume
2020-09-24,0.11,0.11,0.1,0.11,0.11,4352300
2020-09-25,0.11,0.12,0.1,0.11,0.11,6163800
2020-09-28,0.11,0.12,0.11,0.11,0.11,3094800
2020-09-29,0.11,0.12,0.11,0.11,0.11,358200
2020-09-30,0.11,0.12,0.11,0.11,0.11,1943300
2020-10-01,0.11,0.12,0.11,0.12,0.12,1506900
2020-10-02,0.12,0.12,0.11,0.11,0.11,1465200
2020-10-05,0.11,0.11,0.11,0.11,0.11,6127000
2020-10-06,0.12,0.12,0.11,0.12,0.12,1408600
2020-10-07,0.12,0.12,0.11,0.11,0.11,4386200
2020-10-08,0.12,0.12,0.11,0.11,0.11,5883100
2020-10-09,0.12,0.12,0.11,0.12,0.12,1701900
2020-10-12,0.12,0.12,0.11,0.11,0.11,5571600
2020-10-14,0.11,0.12,0.11,0.11,0.11,18390400
2020-10-15,0.11,0.12,0.11,0.11,0.11,4455900
2020-10-16,0.11,0.12,0.1,0.11,0.11,2641500
2020-10-19,0.11,0.11,0.1,0.1,0.1,1536600
2020-10-20,0.1,0.11,0.1,0.1,0.1,8912900
2020-10-21,0.11,0.11,0.1,0.11,0.11,2592200
2020-10-22,0.1,0.11,0.1,0.1,0.1,7226700
2020-10-26,0.11,0.11,0.1,0.1,0.1,14752100
2020-10-27,0.11,0.11,0.1,0.11,0.11,7538200
2020-10-28,0.11,0.12,0.1,0.11,0.11,5506700
2020-10-29,0.11,0.11,0.1,0.11,0.11,3252800
2020-10-30,0.11,0.12,0.1,0.11,0.11,4220500
2020-11-02,0.11,0.11,0.1,0.11,0.11,712500
2020-11-03,0.11,0.12,0.11,0.11,0.11,2763100
2020-11-04,0.11,0.12,0.11,0.11,0.11,2066500
2020-11-05,0.11,0.12,0.1,0.11,0.11,4409000
2020-11-06,0.1,0.12,0.1,0.11,0.11,776100
2020-11-09,0.11,0.12,0.11,0.11,0.11,1410100
2020-11-10,0.11,0.11,0.1,0.11,0.11,17887500
2020-11-11,0.11,0.12,0.1,0.11,0.11,10961400
2020-11-12,0.11,0.11,0.1,0.1,0.1,39249600
2020-11-13,0.1,0.11,0.09,0.1,0.1,55486500
2020-11-16,0.08,0.1,0.08,0.09,0.09,64176600
2020-11-17,0.09,0.1,0.08,0.09,0.09,15282200
2020-11-18,0.09,0.09,0.08,0.09,0.09,7775000
2020-11-19,0.08,0.1,0.08,0.09,0.09,11008100
2020-11-20,0.09,0.1,0.08,0.09,0.09,3001200
2020-11-23,0.09,0.1,0.08,0.09,0.09,29438700
2020-11-24,0.09,0.09,0.08,0.08,0.08,11745400
2020-11-25,0.09,0.09,0.08,0.08,0.08,7436700
2020-11-26,0.08,0.09,0.08,0.09,0.09,21305900
2020-11-27,0.08,0.09,0.08,0.08,0.08,5151700
2020-11-30,0.09,0.1,0.09,0.1,0.1,28980000
2020-12-01,0.1,0.1,0.09,0.09,0.09,358000
2020-12-02,0.09,0.1,0.09,0.09,0.09,11024900
2020-12-03,0.09,0.1,0.09,0.1,0.1,20055700
2020-12-04,0.09,0.1,0.09,0.1,0.1,1623100
2020-12-08,0.09,0.1,0.09,0.09,0.09,4861100
2020-12-09,0.1,0.1,0.09,0.09,0.09,2373100
2020-12-14,0.09,0.1,0.09,0.09,0.09,9136900
2020-12-15,0.09,0.1,0.09,0.09,0.09,6854000
2020-12-16,0.09,0.1,0.09,0.09,0.09,1000300
2020-12-17,0.09,0.1,0.09,0.1,0.1,1015700
2020-12-18,0.09,0.1,0.09,0.1,0.1,1767000
2020-12-21,0.09,0.1,0.08,0.09,0.09,31261500
2020-12-22,0.09,0.09,0.08,0.08,0.08,1298600
2020-12-23,0.09,0.09,0.08,0.09,0.09,5953600
2020-12-24,0.09,0.09,0.08,0.09,0.09,3498300
2020-12-25,0.09,0.09,0.08,0.09,0.09,1206400
2020-12-28,0.09,0.1,0.08,0.09,0.09,27280700
2020-12-29,0.09,0.1,0.09,0.09,0.09,7897100
2020-12-30,0.09,0.1,0.09,0.1,0.1,8434000
2021-01-04,0.1,0.1,0.09,0.09,0.09,6739500
2021-01-05,0.09,0.1,0.09,0.09,0.09,6052700
2021-01-06,0.09,0.1,0.09,0.1,0.1,3404300
2021-01-07,0.09,0.1,0.09,0.1,0.1,3432500
2021-01-08,0.1,0.1,0.09,0.1,0.1,7407500
2021-01-11,0.1,0.11,0.1,0.1,0.1,15807700
2021-01-12,0.1,0.11,0.1,0.11,0.11,2509000
2021-01-13,0.11,0.11,0.1,0.1,0.1,14455800
2021-01-14,0.11,0.11,0.1,0.1,0.1,8418300
2021-01-15,0.1,0.1,0.09,0.1,0.1,1602000
2021-01-18,0.09,0.1,0.09,0.1,0.1,2525100
2021-01-19,0.1,0.1,0.09,0.1,0.1,5198300
2021-01-20,0.1,0.1,0.09,0.09,0.09,7650100
2021-01-21,0.09,0.1,0.09,0.09,0.09,1445700
2021-01-22,0.1,0.1,0.09,0.09,0.09,775600
2021-01-25,0.09,0.1,0.09,0.1,0.1,1242400
2021-01-26,0.09,0.1,0.09,0.09,0.09,2204800
2021-01-27,0.09,0.1,0.09,0.09,0.09,2192300
2021-01-28,0.09,0.1,0.09,0.09,0.09,9916800
2021-01-29,0.09,0.1,0.09,0.1,0.1,4050500
2021-02-01,0.09,0.1,0.09,0.09,0.09,14846300
2021-02-02,0.09,0.1,0.09,0.09,0.09,1862800
2021-02-03,0.09,0.1,0.09,0.1,0.1,5729100
2021-02-04,0.09,0.1,0.09,0.1,0.1,2878800
2021-02-05,0.09,0.1,0.09,0.1,0.1,481800
2021-02-08,0.09,0.1,0.09,0.09,0.09,804100
2021-02-09,0.09,0.1,0.09,0.1,0.1,408600
2021-02-10,0.1,0.1,0.09,0.1,0.1,4348100
2021-02-11,0.09,0.1,0.09,0.1,0.1,2343300
2021-02-15,0.09,0.1,0.09,0.09,0.09,4961200
2021-02-16,0.09,0.1,0.09,0.09,0.09,5694600
2021-02-17,0.09,0.1,0.08,0.09,0.09,3969900
2021-02-18,0.09,0.1,0.08,0.09,0.09,5763700
2021-02-19,0.09,0.1,0.09,0.09,0.09,1709100
2021-02-22,0.09,0.09,0.08,0.08,0.08,8124900
2021-02-23,0.08,0.09,0.08,0.09,0.09,3154000
2021-02-24,0.08,0.09,0.08,0.09,0.09,550300
2021-02-25,0.09,0.1,0.08,0.09,0.09,14558900
2021-03-01,0.09,0.1,0.08,0.1,0.1,2924800
2021-03-02,0.09,0.1,0.08,0.09,0.09,3876200
2021-03-03,0.09,0.1,0.09,0.09,0.09,7411700
2021-03-04,0.09,0.1,0.09,0.1,0.1,9153800
2021-03-05,0.1,0.1,0.09,0.09,0.09,1914200
2021-03-08,0.09,0.1,0.09,0.09,0.09,2062000
2021-03-09,0.1,0.1,0.09,0.09,0.09,1142300
2021-03-10,0.09,0.1,0.09,0.09,0.09,9426400
2021-03-11,0.09,0.1,0.09,0.09,0.09,11341200
2021-03-12,0.1,0.1,0.09,0.1,0.1,698000
2021-03-15,0.09,0.1,0.09,0.1,0.1,912800
2021-03-16,0.1,0.1,0.09,0.1,0.1,20383700
2021-03-17,0.1,0.1,0.09,0.09,0.09,20863500
2021-03-18,0.09,0.1,0.09,0.09,0.09,4766100
2021-03-19,0.09,0.1,0.09,0.09,0.09,6128000
2021-03-22,0.09,0.1,0.09,0.1,0.1,11749700
2021-03-23,0.09,0.13,0.09,0.13,0.13,195160300
2021-03-24,0.13,0.15,0.12,0.13,0.13,150714600
2021-03-25,0.13,0.14,0.12,0.12,0.12,19392200
2021-03-26,0.13,0.14,0.12,0.13,0.13,62375900
2021-03-29,0.13,0.14,0.12,0.13,0.13,24042600
2021-03-30,0.13,0.14,0.12,0.13,0.13,35588000
2021-03-31,0.13,0.13,0.12,0.12,0.12,8162200
2021-04-01,0.12,0.14,0.12,0.14,0.14,45802100
2021-04-02,0.14,0.14,0.13,0.13,0.13,14638600
2021-04-05,0.14,0.15,0.13,0.15,0.15,125928400
2021-04-07,0.15,0.15,0.13,0.14,0.14,77093700
2021-04-08,0.14,0.15,0.13,0.14,0.14,23365600
2021-04-09,0.14,0.14,0.13,0.13,0.13,6299500
2021-04-12,0.13,0.14,0.12,0.12,0.12,24319600
2021-04-16,0.12,0.13,0.11,0.12,0.12,19484500
2021-04-19,0.13,0.14,0.12,0.14,0.14,33354300
2021-04-20,0.13,0.14,0.13,0.13,0.13,11409700
2021-04-21,0.13,0.14,0.13,0.14,0.14,7916400
2021-04-22,0.13,0.14,0.13,0.13,0.13,17858900
2021-04-23,0.13,0.14,0.12,0.13,0.13,17347400
2021-04-26,0.13,0.14,0.12,0.13,0.13,9978600
2021-04-27,0.13,0.14,0.12,0.13,0.13,12567100
2021-04-28,0.13,0.16,0.13,0.16,0.16,322291900
2021-04-29,0.16,0.16,0.15,0.15,0.15,96153300
2021-04-30,0.15,0.16,0.14,0.16,0.16,32222000
2021-05-05,0.16,0.16,0.15,0.16,0.16,25527300
2021-05-06,0.16,0.16,0.15,0.16,0.16,28039700
2021-05-07,0.16,0.16,0.15,0.16,0.16,7126300
2021-05-10,0.16,0.16,0.15,0.15,0.15,16039700
2021-05-11,0.16,0.16,0.14,0.14,0.14,71796300
2021-05-12,0.15,0.16,0.14,0.15,0.15,40652800
2021-05-13,0.15,0.15,0.12,0.14,0.14,133622900
2021-05-14,0.13,0.16,0.13,0.15,0.15,72615200
2021-05-17,0.14,0.14,0.13,0.13,0.13,34070300
2021-05-18,0.14,0.16,0.13,0.15,0.15,104623000
2021-05-19,0.15,0.15,0.14,0.15,0.15,52236800
2021-05-20,0.15,0.15,0.14,0.14,0.14,6386100
2021-05-21,0.14,0.15,0.13,0.14,0.14,26090100
2021-05-24,0.14,0.15,0.13,0.14,0.14,19229400
2021-05-25,0.14,0.15,0.13,0.14,0.14,8203500
2021-05-27,0.14,0.15,0.13,0.14,0.14,5426000
2021-05-28,0.14,0.16,0.13,0.16,0.16,118680900
2021-05-31,0.16,0.17,0.15,0.16,0.16,95417100
2021-06-01,0.17,0.17,0.15,0.15,0.15,65606300
2021-06-02,0.16,0.16,0.15,0.16,0.16,11810100
2021-06-04,0.16,0.16,0.15,0.15,0.15,16699200
2021-06-07,0.16,0.16,0.14,0.15,0.15,64980300
2021-06-08,0.15,0.16,0.15,0.15,0.15,29682500
2021-06-09,0.16,0.16,0.14,0.15,0.15,93976900
2021-06-10,0.15,0.15,0.14,0.15,0.15,15893700
2021-06-11,0.14,0.16,0.14,0.14,0.14,27888300
2021-06-14,0.14,0.15,0.14,0.14,0.14,4689000
2021-06-15,0.15,0.15,0.14,0.14,0.14,9402700
2021-06-16,0.14,0.15,0.14,0.15,0.15,12966200
2021-06-17,0.15,0.15,0.14,0.15,0.15,10666000
2021-06-18,0.14,0.15,0.14,0.15,0.15,21199300
2021-06-21,0.14,0.15,0.13,0.15,0.15,39918400
2021-06-22,0.14,0.15,0.14,0.14,0.14,3037000
2021-06-23,0.15,0.15,0.13,0.14,0.14,25817400
2021-06-24,0.13,0.14,0.13,0.13,0.13,4342800
2021-06-25,0.13,0.14,0.13,0.14,0.14,5964500
2021-06-28,0.14,0.14,0.13,0.14,0.14,3159100
2021-06-29,0.14,0.14,0.13,0.14,0.14,2576800
2021-06-30,0.13,0.14,0.13,0.13,0.13,4321400
2021-07-01,0.14,0.15,0.13,0.15,0.15,6556100
2021-07-02,0.14,0.15,0.13,0.14,0.14,4376000
2021-07-05,0.14,0.14,0.13,0.14,0.14,6368400
2021-07-06,0.14,0.14,0.13,0.14,0.14,45302600
2021-07-07,0.13,0.14,0.12,0.13,0.13,88687800
2021-07-08,0.13,0.14,0.12,0.12,0.12,17432800
2021-07-09,0.12,0.13,0.12,0.13,0.13,13636600
2021-07-12,0.13,0.13,0.12,0.12,0.12,10114700
2021-07-13,0.12,0.13,0.11,0.13,0.13,14024200
2021-07-14,0.13,0.13,0.12,0.13,0.13,3604000
2021-07-15,0.13,0.13,0.12,0.13,0.13,12038700
2021-07-16,0.13,0.13,0.12,0.13,0.13,3292400
2021-07-19,0.12,0.13,0.12,0.13,0.13,11108300
2021-07-20,0.13,0.13,0.12,0.12,0.12,9605500
2021-07-21,0.13,0.13,0.12,0.12,0.12,2384100
2021-07-22,0.13,0.13,0.12,0.12,0.12,1392900
2021-07-23,0.13,0.13,0.12,0.12,0.12,2815800
2021-07-27,0.12,0.13,0.12,0.13,0.13,10544600
2021-07-29,0.12,0.13,0.12,0.13,0.13,6237700
2021-07-30,0.13,0.13,0.11,0.12,0.12,33100500
2021-08-02,0.12,0.13,0.11,0.12,0.12,14383700
2021-08-03,0.12,0.13,0.12,0.12,0.12,2397000
2021-08-04,0.13,0.13,0.12,0.13,0.13,3566000
2021-08-05,0.12,0.13,0.12,0.12,0.12,24860800
2021-08-06,0.12,0.12,0.11,0.12,0.12,12430500
2021-08-09,0.11,0.13,0.11,0.11,0.11,11361800
2021-08-10,0.11,0.12,0.11,0.12,0.12,13678900
2021-08-11,0.12,0.12,0.11,0.11,0.11,2468200
2021-08-13,0.11,0.14,0.11,0.14,0.14,192627300
2021-08-16,0.13,0.14,0.1,0.12,0.12,135370600
2021-08-17,0.12,0.13,0.11,0.12,0.12,21019300
2021-08-18,0.12,0.13,0.12,0.12,0.12,8249000
2021-08-19,0.12,0.13,0.12,0.12,0.12,17302100
2021-08-20,0.13,0.13,0.12,0.12,0.12,17981700
2021-08-23,0.12,0.13,0.12,0.12,0.12,14113400
2021-08-24,0.12,0.13,0.12,0.12,0.12,7861300
2021-08-25,0.12,0.13,0.12,0.12,0.12,5359200
2021-08-26,0.13,0.15,0.12,0.13,0.13,165629600
2021-08-27,0.14,0.14,0.12,0.13,0.13,23322100
2021-08-30,0.13,0.14,0.13,0.13,0.13,7949600
2021-08-31,0.13,0.14,0.13,0.13,0.13,5206900
2021-09-01,0.13,0.14,0.13,0.13,0.13,15088300
2021-09-02,0.13,0.14,0.13,0.14,0.14,6712600
2021-09-03,0.13,0.16,0.13,0.16,0.16,201733400
2021-09-06,0.16,0.2,0.15,0.2,0.2,561144100
2021-09-07,0.22,0.26,0.21,0.23,0.23,782190200
2021-09-08,0.22,0.23,0.2,0.22,0.22,223700600
2021-09-09,0.21,0.22,0.2,0.21,0.21,95843500
2021-09-10,0.21,0.23,0.21,0.22,0.22,110699600
2021-09-13,0.22,0.23,0.21,0.22,0.22,101572500
2021-09-14,0.21,0.22,0.2,0.21,0.21,57231600
2021-09-15,0.21,0.22,0.2,0.21,0.21,47139800
2021-09-16,0.21,0.22,0.2,0.22,0.22,40189700
2021-09-17,0.22,0.22,0.2,0.22,0.22,87077500
2021-09-20,0.21,0.22,0.2,0.21,0.21,40103000
2021-09-21,0.21,0.21,0.19,0.2,0.2,56637900
2021-09-22,0.2,0.21,0.2,0.2,0.2,31669100
2021-09-23,0.2,0.25,0.2,0.24,0.24,365692500
2021-09-27,0.24,0.24,0.22,0.23,0.23,206966300
2021-09-28,0.22,0.23,0.21,0.22,0.22,87929400
2021-09-29,0.21,0.24,0.21,0.23,0.23,248195800
2021-09-30,0.23,0.23,0.21,0.22,0.22,99639000
