Date,Open,High,Low,Close,Adj Close,Volume
2020-12-02,1.05,1.44,1.05,1.44,1.44,200
2020-12-03,1.45,1.45,1.45,1.45,1.45,100
2020-12-08,1.45,1.45,1.45,1.45,1.45,400
2020-12-16,1.45,1.45,1.45,1.45,1.45,100
2020-12-23,1.44,1.44,1.44,1.44,1.44,200
2020-12-24,1.45,1.45,1.45,1.45,1.45,100
2020-12-28,1.45,1.45,1.45,1.45,1.45,300
2021-01-05,1.03,1.2,1.02,1.18,1.18,24400
2021-01-07,1.2,1.25,1.2,1.2,1.2,3500
2021-01-08,1.3,1.3,1.21,1.28,1.28,3600
2021-01-11,1.28,1.28,1.26,1.26,1.26,1500
2021-01-13,1.1,1.29,1.1,1.27,1.27,5800
2021-01-14,1.28,1.28,1.26,1.26,1.26,1000
2021-01-15,1.2,1.2,1.2,1.2,1.2,2500
2021-01-18,1.01,1.15,1.01,1.11,1.11,1300
2021-01-19,1.15,1.19,1.15,1.16,1.16,4300
2021-01-21,1.1,1.11,1.1,1.1,1.1,4200
2021-01-22,1.02,1.1,1.02,1.1,1.1,2900
2021-01-25,1.12,1.12,1.12,1.12,1.12,2100
2021-01-27,1.1,1.15,1.1,1.15,1.15,1500
2021-01-28,1.1,1.11,1.1,1.1,1.1,3500
2021-01-29,1.25,1.25,1.25,1.25,1.25,100
2021-02-03,1.02,1.1,1.02,1.1,1.1,700
2021-02-05,1.3,1.3,1.29,1.29,1.29,200
2021-02-08,1.43,1.43,1.2,1.31,1.31,1500
2021-02-10,1.22,1.3,1.2,1.3,1.3,12200
2021-02-11,1.16,1.2,1.16,1.2,1.2,3900
2021-02-15,1.2,1.21,1.19,1.19,1.19,3300
2021-02-16,1.16,1.16,1.16,1.16,1.16,400
2021-02-17,1.17,1.17,1.13,1.13,1.13,3300
2021-02-18,1.15,1.15,1.13,1.13,1.13,1600
2021-02-19,1.2,1.2,1.2,1.2,1.2,100
2021-02-24,1.13,1.16,1.13,1.16,1.16,600
2021-03-01,1.45,1.45,1.21,1.21,1.21,800
2021-03-02,1.21,1.21,1.1,1.12,1.12,1300
2021-03-04,1.11,1.11,1.11,1.11,1.11,2400
2021-03-08,1.13,1.19,1.13,1.19,1.19,2800
2021-03-10,1.18,1.18,1.12,1.12,1.12,300
2021-03-11,1.19,1.19,1.19,1.19,1.19,2000
2021-03-12,1.15,1.24,1.15,1.23,1.23,11700
2021-03-15,1.16,1.2,1.16,1.2,1.2,200
2021-03-16,1.22,1.22,1.22,1.22,1.22,3000
2021-03-17,1.18,1.22,1.17,1.22,1.22,3200
2021-03-19,1.17,1.25,1.17,1.18,1.18,5400
2021-03-22,1.3,1.3,1.1,1.15,1.15,27200
2021-03-23,1.16,1.24,1.16,1.24,1.24,300
2021-03-25,1.19,1.19,1.19,1.19,1.19,100
2021-03-30,1.17,1.22,1.17,1.22,1.22,3000
2021-03-31,1.22,1.22,1.2,1.2,1.2,500
2021-04-01,1.19,1.22,1.19,1.22,1.22,2500
2021-04-02,1.2,1.2,1.2,1.2,1.2,6000
2021-04-05,1.21,1.21,1.21,1.21,1.21,900
2021-04-07,1.15,1.19,1.15,1.19,1.19,400
2021-04-16,1.25,1.25,1.25,1.25,1.25,100
2021-04-19,1.16,1.26,1.16,1.26,1.26,600
2021-04-20,1.18,1.61,1.1,1.29,1.29,10300
2021-04-22,1.2,1.35,1.2,1.29,1.29,6600
2021-04-26,1.3,1.3,1.3,1.3,1.3,100
2021-04-28,1.34,1.35,1.34,1.35,1.35,200
2021-04-29,1.34,1.34,1.34,1.34,1.34,100
2021-05-13,1.32,1.32,1.32,1.32,1.32,100
2021-05-14,1.24,1.24,1.24,1.24,1.24,1500
2021-05-18,1.25,1.25,1.24,1.25,1.25,1500
2021-05-19,1.21,1.56,1.18,1.31,1.31,11400
2021-05-20,1.2,1.7,1.2,1.7,1.7,37300
2021-05-21,1.73,1.73,1.37,1.54,1.54,41100
2021-05-24,1.4,2.0,1.4,1.55,1.55,40500
2021-05-25,1.5,1.75,1.5,1.52,1.52,8500
2021-05-27,1.5,1.5,1.48,1.49,1.49,7500
2021-05-28,1.49,1.49,1.44,1.44,1.44,2400
2021-05-31,1.42,1.49,1.42,1.49,1.49,500
2021-06-01,1.48,1.48,1.4,1.41,1.41,8100
2021-06-02,1.41,1.48,1.41,1.42,1.42,4000
2021-06-04,1.42,1.42,1.21,1.42,1.42,3000
2021-06-07,1.4,1.48,1.4,1.45,1.45,600
2021-06-08,1.45,1.45,1.44,1.44,1.44,3700
2021-06-09,1.4,1.44,1.35,1.44,1.44,4200
2021-06-10,1.44,1.47,1.4,1.46,1.46,12000
2021-06-14,1.51,1.51,1.41,1.41,1.41,5100
2021-06-15,1.42,1.42,1.42,1.42,1.42,200
2021-06-16,1.45,1.45,1.36,1.36,1.36,10400
2021-06-17,1.45,1.45,1.45,1.45,1.45,400
2021-06-21,1.36,1.7,1.36,1.59,1.59,173700
2021-06-22,1.59,1.59,1.4,1.47,1.47,55700
2021-06-23,1.56,1.56,1.29,1.42,1.42,17000
2021-06-24,1.31,1.45,1.31,1.43,1.43,9800
2021-06-25,1.42,1.5,1.33,1.35,1.35,7000
2021-06-28,1.34,1.37,1.34,1.35,1.35,7400
2021-06-29,1.16,1.42,1.16,1.4,1.4,6400
2021-06-30,1.39,1.5,1.36,1.48,1.48,4300
2021-07-01,1.44,1.45,1.26,1.45,1.45,12300
2021-07-05,1.56,1.56,1.41,1.41,1.41,4100
2021-07-06,1.55,1.55,1.41,1.43,1.43,1400
2021-07-08,1.33,1.38,1.3,1.38,1.38,900
2021-07-09,1.37,1.45,1.19,1.45,1.45,3900
2021-07-12,1.32,1.66,1.32,1.66,1.66,12200
2021-07-13,1.7,1.7,1.35,1.69,1.69,69000
2021-07-14,1.5,1.64,1.5,1.54,1.54,10300
2021-07-15,1.51,1.59,1.51,1.52,1.52,8400
2021-07-16,1.42,1.46,1.42,1.46,1.46,1500
2021-07-19,1.45,1.5,1.45,1.5,1.5,1100
2021-07-20,1.38,1.49,1.38,1.49,1.49,2200
2021-07-21,1.33,1.55,1.26,1.48,1.48,3100
2021-07-22,1.34,1.55,1.34,1.4,1.4,13300
2021-07-23,1.33,1.4,1.33,1.4,1.4,1200
2021-07-27,1.32,1.6,1.3,1.5,1.5,11100
2021-07-29,1.52,1.55,1.32,1.34,1.34,14100
2021-07-30,1.4,1.4,1.35,1.35,1.35,5500
2021-08-02,1.4,1.4,1.25,1.39,1.39,3000
2021-08-03,1.49,1.49,1.31,1.38,1.38,5300
2021-08-05,1.4,1.4,1.29,1.35,1.35,8000
2021-08-06,1.25,1.51,1.25,1.46,1.46,9300
2021-08-10,1.4,1.43,1.3,1.4,1.4,8200
2021-08-11,1.45,1.45,1.34,1.34,1.34,5900
2021-08-13,1.27,1.4,1.27,1.34,1.34,6300
2021-08-17,1.32,1.39,1.31,1.31,1.31,10000
2021-08-18,1.36,1.37,1.3,1.37,1.37,12200
2021-08-20,1.38,1.38,1.3,1.36,1.36,2700
2021-08-23,1.29,1.35,1.29,1.35,1.35,18400
2021-08-25,1.39,1.39,1.37,1.38,1.38,400
2021-08-26,1.53,1.53,1.48,1.49,1.49,400
2021-08-31,1.35,1.41,1.35,1.41,1.41,6500
2021-09-01,1.41,1.41,1.38,1.38,1.38,4300
2021-09-02,1.0,1.39,1.0,1.38,1.38,3300
2021-09-03,1.32,1.38,1.32,1.38,1.38,7900
2021-09-06,1.24,1.4,1.24,1.4,1.4,1500
2021-09-07,1.4,1.4,1.38,1.38,1.38,4100
2021-09-08,1.38,1.72,1.3,1.36,1.36,23800
2021-09-09,1.34,1.34,1.34,1.34,1.34,4200
2021-09-10,1.35,1.48,1.32,1.32,1.32,14900
2021-09-13,1.34,1.44,1.34,1.35,1.35,21300
2021-09-15,1.35,1.36,1.35,1.35,1.35,2500
2021-09-16,1.31,1.35,1.31,1.35,1.35,4800
2021-09-17,1.28,1.36,1.28,1.36,1.36,600
2021-09-21,1.37,1.37,1.33,1.33,1.33,12100
2021-09-23,1.32,1.35,1.3,1.3,1.3,10100
2021-09-27,1.34,1.34,1.33,1.33,1.33,11600
2021-10-07,1.33,1.33,1.33,1.33,1.33,700
2021-10-08,1.33,1.59,1.33,1.4,1.4,6500
2021-10-12,1.3,1.39,1.28,1.36,1.36,7000
2021-10-14,1.3,1.34,1.3,1.34,1.34,3800
2021-10-15,1.31,1.31,1.31,1.31,1.31,1100
2021-10-18,1.28,1.32,1.07,1.31,1.31,5400
2021-10-20,1.51,1.52,1.2,1.33,1.33,26900
2021-10-21,1.26,1.47,1.26,1.31,1.31,9700
2021-10-25,1.27,1.36,1.27,1.33,1.33,2300
2021-10-28,1.29,1.29,1.29,1.29,1.29,2000
2021-11-02,1.32,1.32,1.32,1.32,1.32,100
2021-11-03,1.3,1.3,1.3,1.3,1.3,300
2021-11-04,1.09,1.32,1.09,1.32,1.32,400
2021-11-08,1.13,1.32,1.13,1.26,1.26,500
2021-11-10,1.32,1.32,1.32,1.32,1.32,100
2021-11-12,1.31,1.31,1.3,1.3,1.3,10100
2021-11-15,1.3,1.31,1.3,1.31,1.31,300
2021-11-17,1.16,1.44,1.16,1.29,1.29,3200
2021-11-18,1.29,1.3,1.21,1.3,1.3,300
2021-11-19,1.24,1.26,1.24,1.26,1.26,7700
2021-11-24,1.24,1.24,1.24,1.24,1.24,7200
2021-11-26,1.15,1.15,1.15,1.15,1.15,100
2021-11-29,1.15,1.31,1.15,1.31,1.31,900
2021-12-03,1.15,1.28,1.15,1.28,1.28,300
2021-12-07,1.25,1.25,1.25,1.25,1.25,200
2021-12-09,1.32,1.32,1.25,1.28,1.28,700
2021-12-13,1.18,1.21,1.18,1.21,1.21,400
2021-12-14,0.86,1.29,0.86,1.26,1.26,14000
2021-12-16,1.19,1.25,1.19,1.23,1.23,7200
2021-12-20,1.32,1.32,1.16,1.23,1.23,5100
2021-12-22,1.28,1.28,1.27,1.27,1.27,200
2021-12-24,0.97,1.29,0.97,1.2,1.2,600
2021-12-27,1.19,1.19,1.19,1.19,1.19,100
2022-01-05,1.26,1.26,1.26,1.26,1.26,400
2022-01-07,1.18,1.23,1.17,1.19,1.19,1200
2022-01-10,1.12,1.15,1.12,1.15,1.15,300
2022-01-13,1.19,1.19,1.19,1.19,1.19,200
2022-01-17,1.11,1.27,1.11,1.15,1.15,800
2022-01-21,1.19,1.19,1.19,1.19,1.19,200
2022-01-27,1.21,1.23,1.21,1.23,1.23,1400
2022-01-31,1.24,1.24,1.24,1.24,1.24,200
2022-02-07,1.24,1.24,1.24,1.24,1.24,200
2022-02-10,1.0,1.15,0.92,1.1,1.1,18100
2022-02-14,1.1,1.1,1.03,1.03,1.03,2500
2022-02-15,0.93,1.22,0.93,1.04,1.04,4100
2022-02-17,1.14,1.25,1.05,1.19,1.19,33000
2022-02-18,1.19,1.19,1.05,1.05,1.05,74400
2022-02-21,1.07,1.21,1.05,1.05,1.05,13400
