Date,Open,High,Low,Close,Adj Close,Volume
2020-01-02,2.2,2.2800000000000002,2.18,2.2800000000000002,2.2800000000000002,0
2020-01-03,2.18,2.26,2.16,2.24,2.24,0
2020-01-06,2.2,2.24,2.18,2.22,2.22,0
2020-01-07,2.18,2.24,2.18,2.24,2.24,0
2020-01-08,2.22,2.24,2.2,2.24,2.24,0
2020-01-09,2.16,2.24,2.16,2.24,2.24,0
2020-01-13,2.18,2.2,2.16,2.2,2.2,0
2020-01-14,2.22,2.22,2.22,2.22,2.22,0
2020-01-15,2.16,2.2,2.16,2.2,2.2,0
2020-01-16,2.24,2.24,2.24,2.24,2.24,0
2020-01-17,2.16,2.24,2.16,2.24,2.24,0
2020-01-20,2.24,2.24,2.24,2.24,2.24,0
2020-01-21,2.2,2.24,2.2,2.2,2.2,0
2020-01-23,2.2,2.2,2.2,2.2,2.2,0
2020-01-24,2.2,2.2,2.2,2.2,2.2,0
2020-01-27,2.16,2.16,2.16,2.16,2.16,0
2020-01-28,2.16,2.16,2.14,2.16,2.16,0
2020-01-29,2.16,2.16,2.16,2.16,2.16,0
2020-01-30,2.14,2.18,2.1,2.18,2.18,0
2020-02-03,2.2,2.2,2.08,2.2,2.2,0
2020-02-06,2.18,2.18,2.18,2.18,2.18,0
2020-02-07,2.18,2.18,2.18,2.18,2.18,0
2020-02-17,2.1,2.2,2.1,2.18,2.18,0
2020-02-19,2.1,2.18,2.08,2.18,2.18,0
2020-02-20,2.1,2.16,2.08,2.16,2.16,0
2020-02-21,2.1,2.14,2.04,2.14,2.14,0
2020-02-24,2.02,2.14,1.98,2.0,2.0,0
2020-02-25,1.98,2.0,1.98,2.0,2.0,0
2020-02-26,1.98,2.08,1.98,1.98,1.98,0
2020-02-27,1.98,2.02,1.98,2.02,2.02,0
2020-03-02,1.98,2.0,1.98,2.0,2.0,0
2020-03-06,1.9,2.0,1.9,1.98,1.98,0
2020-03-09,2.08,2.08,1.98,1.98,1.98,0
2020-03-10,1.9,1.9,1.9,1.9,1.9,0
2020-03-12,1.56,1.88,1.56,1.88,1.88,0
2020-03-13,2.04,2.04,1.7,1.88,1.88,0
2020-03-16,1.8,1.8,1.8,1.8,1.8,0
2020-03-17,1.4,1.8,1.4,1.8,1.8,0
2020-03-18,1.6099999999999999,1.98,1.6,1.81,1.81,0
2020-03-20,1.6,1.6,1.6,1.6,1.6,0
2020-03-23,1.55,1.83,1.55,1.83,1.83,0
2020-03-24,1.8,1.8,1.58,1.8,1.8,0
2020-03-25,1.8,1.8,1.65,1.6800000000000002,1.6800000000000002,0
2020-03-27,1.5,1.6600000000000001,1.5,1.58,1.58,0
2020-03-30,1.51,1.52,1.5,1.52,1.52,0
2020-04-01,1.72,1.73,1.43,1.5,1.5,0
2020-04-02,1.5,1.58,1.5,1.58,1.58,0
2020-04-07,1.7,1.7,1.7,1.7,1.7,0
2020-04-09,1.73,1.74,1.52,1.74,1.74,0
2020-04-10,1.96,1.96,1.5899999999999999,1.5899999999999999,1.5899999999999999,0
2020-04-13,1.5899999999999999,1.81,1.5899999999999999,1.81,1.81,0
2020-04-14,1.8900000000000001,2.06,1.63,1.79,1.79,0
2020-04-16,1.79,2.0,1.79,1.8,1.8,0
2020-04-17,1.6,2.02,1.6,1.72,1.72,0
2020-04-21,1.56,1.96,1.56,1.75,1.75,0
2020-04-24,1.95,1.95,1.8,1.8,1.8,0
2020-04-28,1.81,1.81,1.81,1.81,1.81,0
2020-04-29,1.76,1.8900000000000001,1.76,1.88,1.88,0
2020-04-30,1.85,2.08,1.85,1.96,1.96,0
2020-05-05,2.08,2.1,1.83,1.8399999999999999,1.8399999999999999,0
2020-05-07,1.8,1.8,1.71,1.72,1.72,0
2020-05-08,1.72,1.97,1.71,1.97,1.97,0
2020-05-11,1.71,1.94,1.71,1.78,1.78,0
