Date,Open,High,Low,Close,Adj Close,Volume
2020-01-03,15.4,15.4,15.4,15.4,15.4,0
2020-01-06,14.8,14.8,14.8,14.8,14.8,0
2020-01-08,18.4,18.4,18.4,18.4,18.4,0
2020-01-09,16.3,16.3,16.3,16.3,16.3,0
2020-01-10,16.2,16.2,16.2,16.2,16.2,0
2020-01-14,17.0,21.0,16.0,16.0,16.0,0
2020-01-15,17.0,17.0,16.5,16.5,16.5,0
2020-01-28,14.0,14.0,14.0,14.0,14.0,0
2020-01-30,14.1,14.3,14.1,14.3,14.3,0
2020-02-05,14.0,14.0,13.9,13.9,13.9,0
2020-02-06,14.2,14.2,14.1,14.1,14.1,0
2020-02-07,14.1,14.5,14.0,14.5,14.5,0
2020-02-12,15.0,15.0,15.0,15.0,15.0,0
2020-02-14,14.0,14.0,14.0,14.0,14.0,0
2020-02-18,13.8,18.2,13.7,18.2,18.2,0
2020-02-20,15.0,15.0,15.0,15.0,15.0,0
2020-02-21,15.2,15.5,15.2,15.2,15.2,0
2020-02-24,13.1,13.1,13.1,13.1,13.1,0
2020-02-25,14.0,14.1,14.0,14.1,14.1,0
2020-02-26,13.0,13.0,13.0,13.0,13.0,0
2020-02-27,12.1,12.1,12.1,12.1,12.1,0
2020-02-28,12.1,13.8,12.0,13.8,13.8,0
2020-03-03,12.5,12.5,12.5,12.5,12.5,0
2020-03-05,13.5,13.5,13.5,13.5,13.5,0
2020-03-06,13.7,13.7,13.7,13.7,13.7,0
2020-03-09,14.9,14.9,14.9,14.9,14.9,0
2020-03-10,13.1,13.1,13.1,13.1,13.1,0
2020-04-14,13.7,13.7,13.0,13.0,13.0,0
2020-04-17,11.6,11.6,11.6,11.6,11.6,0
2020-04-20,13.3,13.3,12.1,12.3,12.3,0
2020-04-21,13.0,14.1,13.0,14.1,14.1,0
2020-04-22,14.2,14.2,14.2,14.2,14.2,0
2020-04-28,12.7,12.7,12.5,12.7,12.7,0
2020-04-29,12.7,13.0,12.7,12.9,12.9,0
2020-04-30,13.3,13.3,13.2,13.2,13.2,0
2020-05-05,14.4,14.4,14.4,14.4,14.4,0
2020-05-08,13.5,13.5,13.4,13.4,13.4,0
2020-05-12,13.9,14.0,13.9,14.0,14.0,0
2020-05-15,15.0,16.1,15.0,15.2,15.2,0
2020-05-18,15.1,15.1,15.0,15.0,15.0,0
2020-05-22,14.9,14.9,14.9,14.9,14.9,0
2020-05-29,14.1,15.0,14.1,15.0,15.0,0
2020-06-04,15.0,15.0,15.0,15.0,15.0,0
2020-06-08,15.9,15.9,15.9,15.9,15.9,0
2020-06-10,15.9,15.9,15.9,15.9,15.9,0
2020-06-11,16.3,16.3,16.3,16.3,16.3,0
2020-06-22,14.2,14.7,14.2,14.4,14.4,0
2020-06-23,14.1,14.1,14.1,14.1,14.1,0
2020-06-24,14.1,15.6,13.4,15.6,15.6,0
2020-06-25,15.3,15.3,15.3,15.3,15.3,0
2020-06-26,15.0,15.0,15.0,15.0,15.0,0
2020-06-29,14.3,14.4,14.3,14.4,14.4,0
2020-06-30,14.2,14.2,14.2,14.2,14.2,0
2020-07-08,14.2,14.2,14.2,14.2,14.2,0
2020-07-09,14.5,14.9,14.5,14.6,14.6,0
2020-07-22,14.6,14.6,13.8,13.9,13.9,0
2020-07-23,14.0,14.0,13.6,13.6,13.6,0
2020-07-29,13.4,13.5,13.3,13.3,13.3,0
2020-07-30,13.2,13.2,13.2,13.2,13.2,0
2020-08-05,13.1,13.1,13.1,13.1,13.1,0
2020-08-07,13.0,13.0,13.0,13.0,13.0,0
2020-08-13,12.6,14.5,12.6,14.4,14.4,0
2020-08-20,16.0,16.5,16.0,16.5,16.5,0
2020-08-21,14.8,14.8,14.8,14.8,14.8,0
2020-08-27,13.8,13.8,13.8,13.8,13.8,0
2020-08-28,13.9,14.0,13.9,13.9,13.9,0
2020-08-31,13.9,13.9,13.9,13.9,13.9,0
2020-09-09,15.9,15.9,15.8,15.8,15.8,0
2020-09-10,16.4,16.4,16.4,16.4,16.4,0
2020-09-11,16.5,18.8,16.5,16.6,16.6,0
2020-09-14,18.1,19.0,17.0,17.0,17.0,0
2020-09-15,17.1,17.1,17.1,17.1,17.1,0
2020-09-16,19.0,19.6,17.2,18.0,18.0,0
2020-09-17,17.8,17.8,17.8,17.8,17.8,0
2020-09-18,17.9,17.9,17.9,17.9,17.9,0
2020-09-21,16.1,16.1,16.1,16.1,16.1,0
2020-10-07,12.3,14.0,12.3,14.0,14.0,0
2020-10-19,12.2,12.2,12.2,12.2,12.2,0
2020-10-20,12.2,12.2,12.2,12.2,12.2,0
2020-10-21,12.1,14.0,12.1,13.0,13.0,0
2020-10-22,13.0,13.3,13.0,13.3,13.3,0
2020-10-26,12.6,13.5,12.6,13.5,13.5,0
2020-10-27,13.5,13.5,12.9,13.0,13.0,0
2020-10-28,12.6,13.5,12.6,12.9,12.9,0
2020-10-29,12.7,13.0,12.6,13.0,13.0,0
