Date,Open,High,Low,Close,Adj Close,Volume
2021-03-24,5.55,5.75,5.5,5.65,5.65,3802100
2021-03-25,5.65,5.75,5.5,5.55,5.55,2004100
2021-03-26,5.6,5.6,5.3,5.5,5.5,1950200
2021-03-29,5.55,5.65,5.5,5.6,5.6,1733000
2021-03-30,5.6,5.6,5.45,5.5,5.5,1190100
2021-03-31,5.6,6.05,5.55,5.85,5.85,13869800
2021-04-01,5.7,5.7,5.65,5.65,5.65,248900
2021-04-02,5.7,5.8,5.65,5.8,5.8,2293300
2021-04-05,5.8,5.8,5.35,5.45,5.45,3865800
2021-04-07,5.3,5.4,5.25,5.3,5.3,1498300
2021-04-08,5.35,5.35,5.2,5.3,5.3,1134300
2021-04-09,5.3,5.45,5.3,5.4,5.4,877800
2021-04-12,5.4,5.4,5.2,5.25,5.25,1157900
2021-04-16,5.2,5.25,5.05,5.2,5.2,1135500
2021-04-19,5.2,5.4,5.2,5.35,5.35,1951200
2021-04-20,5.35,5.5,5.3,5.45,5.45,2189700
2021-04-21,5.45,5.7,5.4,5.55,5.55,4338600
2021-04-22,5.55,5.6,5.4,5.4,5.4,1234700
2021-04-23,5.3,5.5,5.3,5.35,5.35,773100
2021-04-26,5.3,5.45,5.25,5.35,5.35,971800
2021-04-27,5.35,5.5,5.3,5.35,5.35,2185300
2021-04-28,5.35,5.65,5.35,5.65,5.65,10263000
2021-04-29,5.65,5.9,5.55,5.6,5.6,11760600
2021-04-30,5.65,5.7,5.55,5.55,5.55,1739800
2021-05-05,5.55,5.65,5.45,5.5,5.5,1408700
2021-05-06,5.5,6.15,5.4,6.15,6.15,18649100
2021-05-07,6.6,6.8,6.25,6.35,6.35,23806600
2021-05-10,7.1,7.85,7.05,7.45,7.45,29196300
2021-05-11,7.75,7.75,7.2,7.4,7.4,9641700
2021-05-12,7.3,7.75,7.25,7.65,7.65,8123600
2021-05-13,7.35,7.6,6.1,7.4,7.4,13022500
2021-05-14,7.5,7.5,7.05,7.1,7.1,4262600
2021-05-17,7.0,7.1,6.65,6.8,6.8,2771700
2021-05-18,6.65,7.1,6.6,7.0,7.0,5472400
2021-05-19,7.05,7.15,6.85,6.9,6.9,2028500
2021-05-20,6.9,7.0,6.75,6.75,6.75,1341700
2021-05-21,6.85,6.9,6.6,6.75,6.75,1202600
2021-05-24,6.45,6.6,6.25,6.6,6.6,2165200
2021-05-25,6.5,6.85,6.5,6.8,6.8,1587700
2021-05-27,6.95,6.95,6.75,6.8,6.8,1176700
2021-05-28,6.85,6.9,6.65,6.7,6.7,791300
2021-05-31,6.65,6.8,6.6,6.7,6.7,399000
2021-06-01,6.65,7.0,6.65,6.9,6.9,2019800
2021-06-02,7.05,7.3,6.95,7.2,7.2,8401700
2021-06-04,7.3,7.35,7.05,7.05,7.05,4724900
2021-06-07,7.05,7.1,6.75,6.85,6.85,3017200
2021-06-08,6.85,6.9,6.65,6.9,6.9,1373800
2021-06-09,6.9,7.0,6.75,6.9,6.9,1902300
2021-06-10,6.9,7.1,6.85,7.05,7.05,3168400
2021-06-11,7.05,7.1,6.75,6.75,6.75,1707700
2021-06-14,6.75,6.85,6.5,6.85,6.85,1834300
2021-06-15,6.85,6.85,6.7,6.8,6.8,714700
2021-06-16,6.75,6.8,6.65,6.7,6.7,439200
2021-06-17,6.65,6.8,6.55,6.8,6.8,1080900
2021-06-18,6.8,6.85,6.65,6.8,6.8,796000
2021-06-21,6.7,6.75,6.6,6.6,6.6,659200
2021-06-22,6.65,6.75,6.6,6.6,6.6,560800
2021-06-23,6.55,6.6,6.4,6.6,6.6,1706500
2021-06-24,6.55,6.8,6.2,6.65,6.65,2475500
2021-06-25,6.75,6.75,6.45,6.6,6.6,1812500
2021-06-28,6.5,6.55,6.4,6.4,6.4,627700
2021-06-29,6.3,6.55,6.3,6.5,6.5,1703500
2021-06-30,6.55,6.75,6.45,6.7,6.7,1377000
2021-07-01,6.7,6.8,6.65,6.7,6.7,411600
2021-07-02,6.7,6.75,6.45,6.6,6.6,426400
2021-07-05,6.55,7.1,6.45,7.1,7.1,7673700
2021-07-06,7.1,7.25,6.95,7.0,7.0,4183300
2021-07-07,7.05,7.1,6.7,6.7,6.7,1551100
2021-07-08,6.55,6.6,5.9,5.9,5.9,2839300
2021-07-09,5.75,5.9,5.75,5.8,5.8,550800
2021-07-12,5.8,6.0,5.65,5.7,5.7,1209900
2021-07-13,5.75,5.95,5.75,5.85,5.85,720000
2021-07-14,5.8,6.1,5.8,6.0,6.0,930700
2021-07-15,6.0,6.2,6.0,6.05,6.05,964800
2021-07-16,6.15,6.55,6.1,6.3,6.3,3234700
2021-07-19,6.0,6.3,6.0,6.25,6.25,712700
2021-07-20,6.25,6.25,5.85,5.9,5.9,1042800
2021-07-21,5.95,6.1,5.95,6.0,6.0,496100
2021-07-22,6.1,6.1,6.0,6.1,6.1,403500
2021-07-23,6.05,6.1,5.9,5.9,5.9,330000
2021-07-27,6.0,6.0,5.75,5.75,5.75,952100
2021-07-29,5.8,6.05,5.75,5.8,5.8,1655700
2021-07-30,5.9,5.9,5.65,5.75,5.75,810800
2021-08-02,5.65,5.8,5.6,5.7,5.7,574900
2021-08-03,5.75,5.95,5.65,5.9,5.9,681200
2021-08-04,5.85,6.0,5.75,5.95,5.95,832300
2021-08-05,5.95,6.1,5.85,6.05,6.05,1198200
2021-08-06,6.15,6.15,5.9,5.95,5.95,780900
2021-08-09,6.0,6.0,5.8,5.85,5.85,711900
2021-08-10,5.9,5.9,5.75,5.85,5.85,458400
2021-08-11,5.95,5.95,5.55,5.6,5.6,1785300
2021-08-13,5.7,5.8,5.3,5.3,5.3,2159800
2021-08-16,5.1,5.4,4.98,5.35,5.35,1776100
2021-08-17,5.35,5.45,5.25,5.35,5.35,703000
2021-08-18,5.4,5.55,5.35,5.4,5.4,594500
2021-08-19,5.35,5.6,5.35,5.6,5.6,710600
2021-08-20,5.55,5.6,5.5,5.5,5.5,312200
2021-08-23,5.5,5.6,5.45,5.5,5.5,667600
2021-08-24,5.55,5.8,5.4,5.5,5.5,1030800
2021-08-25,5.6,5.65,5.55,5.65,5.65,439200
