,Ticker,Open,High,Low,Close,Adj Close,Volume,52 Week Min,52 Week Max,RS Rating,RS Rank,Change,Change (%)
2022-01-06,JTS,132.0,138.5,131.0,134.0,134.0,921500,1.88,143.0,1075.46955,1.0,2.5,0.019011406844106463
2022-01-06,OTO,12.0,12.2,12.0,12.2,12.2,2859600,2.755688,13.6,152.07469,0.95238,0.0,0.0
2022-01-06,FORTH,20.9,21.299999,20.9,21.299999,21.299999,1803900,5.95,21.9,86.12487,0.90476,0.19999899999999826,0.00947862559241698
2022-01-06,AS,22.700001,22.9,22.200001,22.4,22.4,5518200,6.25,24.700001,79.27901,0.85714,-0.6000000000000014,-0.02608695652173919
2022-01-06,JMART,58.5,59.5,58.25,58.75,58.75,8180400,20.299999,59.0,55.13334,0.80952,-0.25,-0.00423728813559322
2022-01-06,JMT,69.5,70.25,68.75,69.5,69.5,12046000,33.459955,70.0,50.01741,0.7619,-0.5,-0.007142857142857143
2022-01-06,EA,98.0,99.25,96.25,99.0,99.0,44192100,57.5,99.25,49.44652,0.71429,-0.25,-0.0025188916876574307
2022-01-06,YGG,10.21505376,10.75268817,10.13824885,10.52227343,10.52227343,11536045,5.06912442,11.3671275,46.61167,0.66667,0.23041474999999956,0.022388060035041166
2022-01-06,ASK,42.5,43.75,42.5,43.0,43.0,1475700,18.51914,46.0,37.66361,0.61905,-0.75,-0.017142857142857144
2022-01-06,SINGER,53.75,54.25,53.0,53.25,53.25,5379700,25.699504,54.25,33.78903,0.57143,-1.0,-0.018433179723502304
2022-01-06,SKR,12.9,13.0,12.8,13.0,13.0,528000,6.4,13.6,30.92245,0.52381,0.09999999999999964,0.007751937984496096
2022-01-06,RBF,22.700001,23.0,22.6,22.700001,22.700001,4900500,8.55,23.299999,26.71868,0.47619,-0.2999989999999997,-0.013043434782608682
2022-01-06,THG,37.25,37.5,37.0,37.5,37.5,1232800,24.9,37.5,26.10818,0.42857,0.0,0.0
2022-01-06,DTAC,45.25,45.25,44.25,44.75,44.75,8392200,29.0,46.0,23.90198,0.38095,-0.5,-0.011049723756906077
2022-01-06,FSMART,12.3,12.3,12.0,12.1,12.1,3699800,6.9,13.4,23.23834,0.33333,-0.3000000000000007,-0.024193548387096833
